,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
KJEN,,7,550,,0,0,,9,950,12,128,,10,400,5,130,,0,0,0,0,,0,0,0,0,
MAHA,,7,543,,0,0,,12,621,8,136,,3,78,1,138,,0,0,0,0,,0,0,0,0,
BBTN,,64,500,,0,0,,12,500,64,1275,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BJTM,,25,500,,0,0,,1,1000,51,510,,5,500,26,515,,0,0,0,0,,0,0,0,0,
CRSN,,6,500,,0,0,,7,500,6,111,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NASA,,2,500,,0,0,,5,500,2,36,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MEJA-W,,3,480,,0,0,,32,12311,31,25,,14,11831,29,24,,0,0,0,0,,0,0,0,0,
KAQI,,3,462,,0,0,,68,15026,109,72,,49,14564,106,72,,0,0,0,0,,0,0,0,0,
TPIA,,363,450,,0,0,,22,470,380,8078,,2,20,16,8100,,0,0,0,0,,0,0,0,0,
RMKO,,6,418,,0,0,,39,1236,18,147,,24,818,12,147,,0,0,0,0,,0,0,0,0,
ASRI,,7,379,,0,0,,19,1379,24,172,,9,1000,17,172,,0,0,0,0,,0,0,0,0,
NRCA,,31,374,,0,0,,8,1215,104,855,,18,841,73,864,,0,0,0,0,,0,0,0,0,
HALO,,3,358,,0,0,,3,358,3,85,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ECII,,7,355,,0,0,,9,355,7,186,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LMPI,,5,355,,0,0,,7,555,8,141,,2,200,3,143,,0,0,0,0,,0,0,0,0,
ELPI,,12,330,,0,0,,8,371,14,370,,2,41,2,376,,0,0,0,0,,0,0,0,0,
PTBA,,77,327,,0,0,,7,1531,368,2407,,72,1204,291,2419,,0,0,0,0,,0,0,0,0,
SPRE,,2,318,,0,0,,9,576,5,79,,4,258,2,81,,0,0,0,0,,0,0,0,0,
FPNI,,6,313,,0,0,,3,313,6,192,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INPS,,3,305,,0,0,,9,305,3,112,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SUNI,,24,303,,0,0,,6,303,24,783,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BRIS,,80,292,,0,0,,7,300,82,2730,,1,8,2,2700,,0,0,0,0,,0,0,0,0,
HUMI,,7,288,,0,0,,87,30566,501,164,,194,30278,493,163,,0,0,0,0,,0,0,0,0,
HATM,,7,275,,0,0,,2,275,7,252,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PICO,,3,251,,0,0,,6,400,6,140,,10,149,2,142,,0,0,0,0,,0,0,0,0,
AMIN,,5,250,,0,0,,2,250,5,218,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NAIK,,4,250,,0,0,,4,250,4,146,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SKRN,,10,250,,0,0,,1,250,10,400,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ITMG,,552,247,,0,0,,49,297,664,22349,,1,50,112,22375,,0,0,0,0,,0,0,0,0,
NSSS,,11,245,,0,0,,5,245,11,440,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PANI,,385,243,,0,0,,48,666,1033,15506,,57,423,648,15315,,0,0,0,0,,0,0,0,0,
HGII,,3,240,,0,0,,6,240,3,145,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NICL,,25,235,,0,0,,6,235,25,1064,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AGRO,,5,200,,0,0,,1,200,5,236,,0,0,0,0,,0,0,0,0,,0,0,0,0,
