Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
JATI,119,0.85%,118,118,119,115,586,59254,694683,388240
ADROBQCN6A,65,1.56%,64,64,65,62,14,1086,6944,5850
APLN,100,1.01%,99,99,100,98,244,19469,193048,2269933
IOTF,89,1.14%,88,88,89,87,1376,217764,1921002,470837
JAYA,109,0.93%,108,108,110,106,172,7341,79203,87036
BKDP,38,2.70%,37,37,39,37,33,1471,5511,285532
HDFA,164,0.61%,163,163,182,157,1332,42922,733649,1072961
RELF,43,2.38%,42,42,43,41,478,63864,271503,246297
UNVRZPCM6A,115,0.88%,114,115,115,115,1,1,12,57500
PGEOYUCK6A,59,1.72%,58,60,60,59,2,3,18,11800
HRUMZPCM6A,26,4%,25,25,26,25,8,607,1547,13000
HUMI,127,0.79%,126,126,129,125,2354,363834,4604286,2291919
BBCABQCN6A,51,2%,50,51,51,51,2,106,541,4590
PGEOBQCJ6A,32,3.23%,31,32,32,32,2,111,355,3840
GRPH,65,1.56%,64,65,66,63,726,93761,609737,65000
PPRE,117,0.86%,116,116,119,115,1208,172763,2012688,1196240
ERAAHDCN6A,41,2.50%,40,41,41,41,1,200,820,14760
KREN,16,6.67%,15,16,16,16,576,192026,307242,291336
ADMG,163,0.62%,162,162,164,157,302,19697,316292,633936
ADROBQCZ5A,4,33.33%,3,4,4,3,127,34397,12836,160
BRPTBQCF6A,62,1.64%,61,65,65,62,9,26533,166109,5580
XCLQ,96,1.05%,95,95,100,87,10,204,1848,12010
DNAR,123,0.82%,122,123,125,121,253,20008,245920,2074677
KRYA,185,0.54%,184,186,188,180,1044,101142,1863008,307830
IDEA,66,1.54%,65,65,67,65,343,38814,255985,70121
MPOW,115,0.88%,114,117,117,114,146,9104,104316,93955
MPPA,63,1.61%,62,62,67,61,2985,1444693,9261773,816898
ERAAZPCH6A,15,7.14%,14,15,15,15,1,2,3,3000
WEGE,66,1.54%,65,67,67,65,571,133313,881668,631752
DFAM,86,1.18%,85,86,91,85,13734,257489,2269533,163387
TMAS,130,0.78%,129,130,130,128,207,11525,149013,7416695
WEHA,106,0.95%,105,106,107,105,98,5592,59074,154819
KOBX,178,0.56%,177,177,180,174,1106,99555,1768057,404505
SRSN,66,1.54%,65,65,68,65,770,166884,1109399,397320
BBCABQCG6A,72,1.41%,71,75,75,71,21,55638,395123,7200
PMUI,149,0.68%,148,150,154,147,576,96937,1450356,864200
MDLN,60,1.69%,59,60,61,59,385,74910,446270,751984
LRNA,179,0.56%,178,181,189,178,314,20460,376091,62650
LAJU,70,1.45%,69,69,71,69,440,109221,759599,150496
DSFI,87,1.16%,86,87,89,86,288,35008,306606,161571
PEGE,124,0.81%,123,123,125,121,89,7585,93598,351344
ADRODRCJ6A,58,1.75%,57,59,59,55,24,5202,29583,11600
SWID,116,0.87%,115,113,122,109,2563,227666,2645794,624662
ANTMHDCH6A,63,1.61%,62,58,66,58,12,31634,205940,9450
ESSADRCN6A,39,2.63%,38,41,41,39,2,10005,39020,5850
BIMA,81,1.25%,80,80,81,80,28,868,7019,49262
INAI,153,0.66%,152,151,154,150,43,687,10455,96941
BINO,135,0.75%,134,140,140,132,461,28754,390089,307168
XIPI,229,0.44%,228,230,230,229,3,66,1513,875169
HOKI,75,1.35%,74,75,75,74,1327,481172,3586170,725831
BIPI,85,1.19%,84,85,86,84,5651,2856542,24263111,5415367
PTROHDCN6A,108,0.93%,107,108,113,105,99,158206,1748435,22680
PART-W,20,5.26%,19,19,20,18,266,206844,386411,13592
ANTMZPCK6A,24,4.35%,23,25,26,21,58,26428,61571,16800
BMRIBQCZ5A,7,16.67%,6,7,8,6,41,37678,22939,280
DGIK,111,0.91%,110,111,112,108,547,69398,764405,615069
DGNS,143,0.70%,142,142,144,140,117,6977,98485,178750
MAHA,144,0.70%,143,142,145,140,285,35100,501367,2399904
